epochs,base_lr,classifier_iteration,best_accuracy
50,0.002,100,0.743697
50,0.002,150,0.72479
50,0.002,200,0.741597
50,0.002,250,0.712185
50,0.002,300,0.72479
50,0.004,100,0.739496
50,0.004,150,0.735294
50,0.004,200,0.733193
50,0.004,250,0.733193
50,0.004,300,0.735294
50,0.006,100,0.747899
50,0.006,150,0.752101
50,0.006,200,0.720588
50,0.006,250,0.735294
50,0.006,300,0.733193
50,0.008,100,0.728992
50,0.008,150,0.733193
50,0.008,200,0.735294
50,0.008,250,0.739496
50,0.008,300,0.731092
50,0.01,100,0.703781
50,0.01,150,0.703781
50,0.01,200,0.716387
50,0.01,250,0.72479
50,0.01,300,0.731092
100,0.002,100,0.726891
100,0.002,150,0.739496
100,0.002,200,0.731092
100,0.002,250,0.739496
100,0.002,300,0.737395
100,0.004,100,0.733193
100,0.004,150,0.745798
100,0.004,200,0.737395
100,0.004,250,0.733193
100,0.004,300,0.72479
100,0.006,100,0.72479
100,0.006,150,0.735294
100,0.006,200,0.741597
100,0.006,250,0.741597
100,0.006,300,0.733193
100,0.008,100,0.733193
100,0.008,150,0.743697
100,0.008,200,0.735294
100,0.008,250,0.739496
100,0.008,300,0.737395
100,0.01,100,0.733193
100,0.01,150,0.728992
100,0.01,200,0.760504
100,0.01,250,0.739496
100,0.01,300,0.733193
150,0.002,100,0.739496
150,0.002,150,0.75
150,0.002,200,0.743697
150,0.002,250,0.735294
150,0.002,300,0.739496
150,0.004,100,0.731092
150,0.004,150,0.739496
150,0.004,200,0.739496
150,0.004,250,0.737395
150,0.004,300,0.737395
150,0.006,100,0.733193
150,0.006,150,0.731092
150,0.006,200,0.741597
150,0.006,250,0.733193
150,0.006,300,0.733193
150,0.008,100,0.741597
150,0.008,150,0.731092
150,0.008,200,0.741597
150,0.008,250,0.741597
150,0.008,300,0.735294
150,0.01,100,0.735294
150,0.01,150,0.718487
150,0.01,200,0.726891
150,0.01,250,0.741597
150,0.01,300,0.745798
200,0.002,100,0.747899
200,0.002,150,0.728992
200,0.002,200,0.741597
200,0.002,250,0.75
200,0.002,300,0.743697
200,0.004,100,0.728992
200,0.004,150,0.737395
200,0.004,200,0.743697
200,0.004,250,0.733193
200,0.004,300,0.741597
200,0.006,100,0.728992
200,0.006,150,0.726891
200,0.006,200,0.735294
200,0.006,250,0.745798
200,0.006,300,0.735294
200,0.008,100,0.741597
200,0.008,150,0.743697
200,0.008,200,0.739496
200,0.008,250,0.731092
200,0.008,300,0.752101
200,0.01,100,0.747899
200,0.01,150,0.731092
200,0.01,200,0.726891
200,0.01,250,0.741597
200,0.01,300,0.747899
250,0.002,100,0.739496
250,0.002,150,0.743697
250,0.002,200,0.743697
250,0.002,250,0.741597
250,0.002,300,0.735294
250,0.004,100,0.75
250,0.004,150,0.737395
250,0.004,200,0.743697
250,0.004,250,0.743697
250,0.004,300,0.756303
250,0.006,100,0.747899
250,0.006,150,0.743697
250,0.006,200,0.737395
250,0.006,250,0.741597
250,0.006,300,0.731092
250,0.008,100,0.731092
250,0.008,150,0.735294
250,0.008,200,0.747899
250,0.008,250,0.747899
250,0.008,300,0.752101
250,0.01,100,0.741597
